id,device_id,manufacturer,event_type,longitude,latitude,iot_signal_1,iot_signal_3,iot_signal_4,iot_signal_2
0,0x1000000000005,New World Corp,system malfunction,-92.96849,42.297974,3,51,104,3
1,0x100000000001d,New World Corp,tank below 10%,-92.673416,41.75997,9,52,103,10
2,0x1000000000008,New World Corp,tank below 10%,-93.43854,41.908176,6,54,103,8
3,0x100000000001b,AI Inc.,tank below 10%,-92.73906,41.677345,2,53,105,3
4,0x1000000000014,New World Corp,tank below 10%,-93.14474,42.031174,10,55,102,10
5,0x100000000001c,Hot Data Ltd,device error,-92.88627,42.25368,3,50,105,4
6,0x1000000000005,New World Corp,system malfunction,-93.485054,42.423115,2,50,102,4
7,0x100000000000b,New World Corp,device error,-93.377686,42.130592,5,54,102,6
8,0x1000000000024,AI Inc.,tank below 10%,-92.858574,42.339985,6,53,107,6
9,0x1000000000009,AI Inc.,tank below 10%,-92.88498,42.488728,7,53,104,9
10,0x1000000000025,Hot Data Ltd,device error,-93.38117,42.01407,5,55,106,6
11,0x1000000000001,Hot Data Ltd,tank below 10%,-92.78798,41.794743,3,51,103,5
12,0x1000000000020,New World Corp,system malfunction,-93.27346,41.784687,8,53,106,10
13,0x1000000000017,New World Corp,tank below 5%,-92.90875,42.273937,4,52,105,6
14,0x1000000000022,Hot Data Ltd,tank below 10%,-92.856224,41.66811,9,54,104,11
15,0x1000000000004,Hot Data Ltd,tank below 10%,-92.82739,42.43808,8,51,101,9
16,0x100000000001e,AI Inc.,device error,-92.9271,42.206646,3,54,107,5
17,0x1000000000012,AI Inc.,tank below 10%,-92.69371,41.63239,5,53,101,7
18,0x100000000001e,AI Inc.,tank below 5%,-92.948524,41.753616,10,53,101,11
19,0x1000000000004,Hot Data Ltd,device error,-93.53273,42.11225,5,55,106,6
20,0x100000000000f,AI Inc.,tank below 5%,-93.53778,41.75835,2,54,103,4
21,0x1000000000027,AI Inc.,tank below 5%,-92.98676,41.906803,1,54,102,2
22,0x1000000000009,AI Inc.,tank below 10%,-93.28494,42.442245,3,53,103,3
23,0x100000000000c,AI Inc.,tank below 10%,-93.35242,41.763145,1,51,105,2
24,0x1000000000026,New World Corp,device error,-92.67935,42.269554,6,55,103,6
25,0x1000000000024,AI Inc.,device error,-93.29763,42.493378,1,54,105,3
26,0x1000000000000,AI Inc.,device error,-93.24037,42.56876,4,51,102,4
27,0x100000000000a,Hot Data Ltd,device error,-93.393166,42.11258,7,50,101,7
28,0x1000000000018,AI Inc.,tank below 10%,-92.83002,42.173546,5,55,103,6
29,0x1000000000000,AI Inc.,tank below 5%,-93.37416,42.284355,9,52,103,11
30,0x1000000000008,New World Corp,tank below 10%,-93.57091,41.718983,2,53,106,3
31,0x100000000001c,Hot Data Ltd,system malfunction,-92.85001,42.34192,1,51,106,1
32,0x1000000000019,Hot Data Ltd,system malfunction,-93.22781,41.854298,1,51,107,1
33,0x1000000000018,AI Inc.,device error,-93.194756,41.82737,7,51,107,9
34,0x100000000000c,AI Inc.,tank below 10%,-92.80876,42.41007,4,54,103,4
35,0x1000000000002,New World Corp,system malfunction,-93.10446,41.731075,2,54,102,2
36,0x1000000000019,Hot Data Ltd,system malfunction,-93.3694,42.163097,1,52,106,3
37,0x100000000001d,New World Corp,tank below 10%,-93.52788,42.451603,3,53,105,4
38,0x1000000000006,AI Inc.,tank below 5%,-92.75528,42.080772,7,52,104,8
39,0x100000000001f,Hot Data Ltd,tank below 10%,-93.14894,42.054325,7,51,102,8
40,0x1000000000019,Hot Data Ltd,tank below 10%,-92.696175,42.275192,6,54,107,6
41,0x1000000000017,New World Corp,device error,-93.178055,41.969013,4,52,100,4
42,0x1000000000008,New World Corp,tank below 5%,-93.05247,41.794937,4,54,105,4
43,0x1000000000019,Hot Data Ltd,tank below 5%,-93.58437,42.433533,7,54,104,9
44,0x100000000000e,New World Corp,tank below 5%,-93.048225,42.466717,1,50,106,1
45,0x1000000000023,New World Corp,tank below 5%,-93.25396,42.03238,8,54,103,8
46,0x100000000000e,New World Corp,device error,-92.71456,42.4622,4,50,100,5
47,0x1000000000023,New World Corp,tank below 10%,-93.532455,41.785213,10,54,107,11
48,0x1000000000008,New World Corp,device error,-93.12824,41.852818,1,52,102,3
49,0x1000000000001,Hot Data Ltd,device error,-93.38919,41.714405,4,53,105,4
50,0x1000000000012,AI Inc.,tank below 5%,-92.72282,42.069454,9,52,101,9
51,0x100000000000b,New World Corp,system malfunction,-93.29211,42.360943,5,52,101,7
52,0x100000000000f,AI Inc.,device error,-93.32902,42.291702,2,51,105,4
53,0x1000000000023,New World Corp,device error,-92.79128,42.06706,1,50,101,1
54,0x1000000000004,Hot Data Ltd,device error,-93.17332,41.660206,9,54,104,11
55,0x1000000000022,Hot Data Ltd,tank below 5%,-93.12498,42.181965,8,52,107,9
56,0x100000000000b,New World Corp,system malfunction,-93.1695,42.35451,2,55,104,2
57,0x1000000000016,Hot Data Ltd,tank below 5%,-93.171425,42.1357,10,51,106,12
58,0x1000000000007,Hot Data Ltd,device error,-93.01133,42.377064,7,51,105,8
59,0x1000000000001,Hot Data Ltd,system malfunction,-93.17707,42.231606,6,51,104,6
60,0x1000000000016,Hot Data Ltd,device error,-93.049866,41.65958,5,53,102,6
61,0x1000000000014,New World Corp,tank below 10%,-93.57293,41.888687,3,51,104,3
62,0x1000000000024,AI Inc.,tank below 5%,-93.2545,41.97587,3,53,106,5
63,0x100000000000a,Hot Data Ltd,device error,-93.452126,41.85587,5,50,105,6
64,0x100000000001e,AI Inc.,tank below 10%,-92.71627,42.151356,3,52,105,5
65,0x1000000000001,Hot Data Ltd,tank below 5%,-92.75319,41.7949,10,52,102,10
66,0x1000000000009,AI Inc.,tank below 5%,-93.24301,41.693504,10,55,100,11
67,0x1000000000008,New World Corp,device error,-93.06352,42.282795,4,52,105,4
68,0x1000000000005,New World Corp,system malfunction,-93.25168,41.99391,4,50,105,4
69,0x1000000000021,AI Inc.,device error,-93.53549,41.937344,7,54,102,8
70,0x100000000000f,AI Inc.,device error,-92.845314,41.667557,7,52,101,7
71,0x1000000000003,AI Inc.,device error,-93.60225,41.69479,9,52,105,11
72,0x1000000000006,AI Inc.,tank below 5%,-93.4029,41.831776,3,55,107,5
73,0x1000000000008,New World Corp,system malfunction,-93.36408,42.455376,4,55,101,6
74,0x1000000000023,New World Corp,tank below 5%,-93.246155,42.252018,8,53,102,9
75,0x1000000000019,Hot Data Ltd,system malfunction,-92.78442,42.23301,2,50,102,2
76,0x1000000000011,New World Corp,tank below 5%,-93.40306,41.659954,3,50,107,5
77,0x100000000000b,New World Corp,device error,-93.4814,42.226254,3,53,107,5
78,0x100000000001b,AI Inc.,device error,-93.021355,41.710213,2,51,103,2
79,0x1000000000012,AI Inc.,device error,-93.25721,42.410667,6,51,107,8
80,0x1000000000005,New World Corp,device error,-93.20404,42.45435,10,55,101,10
81,0x1000000000004,Hot Data Ltd,tank below 5%,-92.92915,41.717957,5,52,105,7
82,0x1000000000006,AI Inc.,system malfunction,-92.89059,42.457882,2,50,105,2
83,0x100000000001e,AI Inc.,system malfunction,-93.600555,42.409306,3,51,104,3
84,0x100000000001a,New World Corp,tank below 10%,-93.09864,42.399147,1,51,100,2
85,0x1000000000003,AI Inc.,tank below 5%,-93.27709,41.64321,4,50,106,4
86,0x1000000000013,Hot Data Ltd,system malfunction,-92.99783,42.563877,8,52,107,8
87,0x1000000000006,AI Inc.,tank below 10%,-93.25934,42.223606,8,53,105,8
88,0x1000000000018,AI Inc.,system malfunction,-92.80683,42.09599,8,51,105,8
89,0x1000000000026,New World Corp,tank below 5%,-92.681755,42.500797,8,54,103,8
90,0x1000000000009,AI Inc.,tank below 5%,-93.2762,41.96609,2,51,104,2
91,0x1000000000020,New World Corp,device error,-93.39023,42.106598,8,53,104,10
92,0x1000000000014,New World Corp,tank below 5%,-92.71055,42.102455,2,52,105,2
93,0x1000000000018,AI Inc.,device error,-93.495544,41.970448,2,52,105,4
94,0x1000000000012,AI Inc.,system malfunction,-92.96867,41.8393,8,55,106,8
95,0x1000000000001,Hot Data Ltd,device error,-93.45813,42.427864,6,53,102,8
96,0x100000000001f,Hot Data Ltd,system malfunction,-92.686935,42.480576,3,53,101,4
97,0x1000000000007,Hot Data Ltd,system malfunction,-93.35594,41.80407,3,53,101,5
98,0x100000000001f,Hot Data Ltd,tank below 5%,-93.14909,42.378857,1,52,102,2
99,0x1000000000011,New World Corp,system malfunction,-92.95507,41.705784,8,52,106,8
100,0x100000000000a,Hot Data Ltd,tank below 5%,-93.339096,41.78707,8,51,102,8
101,0x100000000001d,New World Corp,system malfunction,-92.84145,41.795673,6,55,104,7
102,0x1000000000011,New World Corp,system malfunction,-93.23267,41.716457,4,52,101,5
103,0x1000000000013,Hot Data Ltd,tank below 10%,-92.84159,41.92375,2,52,101,3
104,0x1000000000022,Hot Data Ltd,tank below 5%,-92.87719,42.528564,8,55,100,9
105,0x100000000000b,New World Corp,device error,-93.12842,42.18966,4,51,103,5
106,0x1000000000003,AI Inc.,device error,-93.14135,41.911015,5,55,105,6
107,0x1000000000008,New World Corp,device error,-93.071175,41.77161,9,53,106,10
108,0x100000000000d,Hot Data Ltd,tank below 10%,-92.681755,42.557175,10,54,102,10
109,0x1000000000013,Hot Data Ltd,tank below 5%,-93.21331,42.456646,4,54,105,6
110,0x1000000000015,AI Inc.,tank below 5%,-93.349236,41.766052,8,55,105,9
111,0x1000000000003,AI Inc.,tank below 5%,-92.69781,41.913574,9,52,105,9
112,0x1000000000007,Hot Data Ltd,tank below 5%,-93.269806,42.532173,8,54,101,8
113,0x1000000000007,Hot Data Ltd,device error,-93.47701,42.587887,6,54,101,7
